run_id,accuracy,params
53,3675.1231615491774,"{'model_type': np.str_('gbm'), 'n_estimators': 278, 'learning_rate': 0.10734292437577429, 'max_depth': 4, 'subsample': 0.7171951108017814, 'min_samples_split': 9}"
54,4574.06797291256,"{'model_type': np.str_('ridge'), 'alpha': 12.422443617040221}"
55,3481.3257093763154,"{'model_type': np.str_('gbm'), 'n_estimators': 270, 'learning_rate': 0.13396037801259839, 'max_depth': 2, 'subsample': 0.837494594201363, 'min_samples_split': 3}"
56,3487.4482049637368,"{'model_type': np.str_('ridge'), 'alpha': 2.407153416789756}"
57,2798.1463290302727,"{'model_type': np.str_('lasso'), 'alpha': 0.11037441796232336}"
58,3157.002117032473,"{'model_type': np.str_('lasso'), 'alpha': 0.7622649625173095}"
59,3859.2382714165055,"{'model_type': np.str_('gbm'), 'n_estimators': 103, 'learning_rate': 0.15541166416139138, 'max_depth': 5, 'subsample': 0.8550473176375329, 'min_samples_split': 3}"
60,5345.384088134979,"{'model_type': np.str_('ridge'), 'alpha': 822.6979211099629}"
61,2895.6217262726914,"{'model_type': np.str_('ridge'), 'alpha': 0.0010553029768898654}"
62,5339.643530686294,"{'model_type': np.str_('ridge'), 'alpha': 605.7795451969056}"
63,2771.654571168959,"{'model_type': np.str_('gbm'), 'n_estimators': 229, 'learning_rate': 0.014168780493862918, 'max_depth': 2, 'subsample': 0.8363470311067139, 'min_samples_split': 9}"
64,2875.7181973024067,"{'model_type': np.str_('ridge'), 'alpha': 0.02250509958281636}"
65,3573.8117702754244,"{'model_type': np.str_('gbm'), 'n_estimators': 179, 'learning_rate': 0.1143522572778757, 'max_depth': 4, 'subsample': 0.8348776291746126, 'min_samples_split': 4}"
66,2899.62013984695,"{'model_type': np.str_('lasso'), 'alpha': 0.00014718167157487915}"
67,3046.4871638324116,"{'model_type': np.str_('gbm'), 'n_estimators': 136, 'learning_rate': 0.05069255966591289, 'max_depth': 5, 'subsample': 0.7075781248044932, 'min_samples_split': 6}"
68,2795.8287622826633,"{'model_type': np.str_('gbm'), 'n_estimators': 276, 'learning_rate': 0.01339502094171121, 'max_depth': 3, 'subsample': 0.9639021987280904, 'min_samples_split': 4}"
69,2845.7078476034017,"{'model_type': np.str_('lasso'), 'alpha': 0.0313446024996867}"
70,2894.9101263375437,"{'model_type': np.str_('ridge'), 'alpha': 0.0012612234854008121}"
71,2882.9031228085455,"{'model_type': np.str_('lasso'), 'alpha': 0.005940555116353456}"
72,2808.429133545694,"{'model_type': np.str_('lasso'), 'alpha': 0.06222225887433871}"
73,4801.890199317319,"{'model_type': np.str_('ridge'), 'alpha': 19.355831450255675}"
74,2880.4985322688935,"{'model_type': np.str_('ridge'), 'alpha': 0.01276233233992182}"
75,2897.293730948843,"{'model_type': np.str_('lasso'), 'alpha': 0.0007600050319023496}"
76,3943.7244168191983,"{'model_type': np.str_('ridge'), 'alpha': 4.789101689504877}"
77,2723.67533518064,"{'model_type': np.str_('gbm'), 'n_estimators': 99, 'learning_rate': 0.09866352952192017, 'max_depth': 2, 'subsample': 0.9734557226110976, 'min_samples_split': 6}"
78,3015.074586636184,"{'model_type': np.str_('ridge'), 'alpha': 0.8111159156854608}"
79,2857.316764879704,"{'model_type': np.str_('ridge'), 'alpha': 0.09367657314349968}"
80,2887.0850971781883,"{'model_type': np.str_('ridge'), 'alpha': 0.004991144325567577}"
81,5346.990650768265,"{'model_type': np.str_('ridge'), 'alpha': 914.0746557875656}"
82,2896.426860304191,"{'model_type': np.str_('lasso'), 'alpha': 0.0009954045389332837}"
83,2874.336236494219,"{'model_type': np.str_('lasso'), 'alpha': 0.013052539275736231}"
84,3473.2295887257515,"{'model_type': np.str_('gbm'), 'n_estimators': 72, 'learning_rate': 0.09472191851690968, 'max_depth': 5, 'subsample': 0.8728503809304463, 'min_samples_split': 4}"
85,2897.350555336386,"{'model_type': np.str_('lasso'), 'alpha': 0.000744785722361463}"
86,2899.530472023567,"{'model_type': np.str_('lasso'), 'alpha': 0.00017032756441106737}"
87,3387.8879834485874,"{'model_type': np.str_('gbm'), 'n_estimators': 193, 'learning_rate': 0.09351412379688609, 'max_depth': 3, 'subsample': 0.8366872221516326, 'min_samples_split': 5}"
88,2884.253503568547,"{'model_type': np.str_('lasso'), 'alpha': 0.004869600624445442}"
89,3454.9295719619795,"{'model_type': np.str_('gbm'), 'n_estimators': 217, 'learning_rate': 0.0460015868819925, 'max_depth': 5, 'subsample': 0.9225764971737981, 'min_samples_split': 4}"
90,2798.5304428901845,"{'model_type': np.str_('lasso'), 'alpha': 0.09356978972959998}"
91,2805.284694092444,"{'model_type': np.str_('gbm'), 'n_estimators': 110, 'learning_rate': 0.025642059372306854, 'max_depth': 3, 'subsample': 0.701579894146004, 'min_samples_split': 3}"
92,2854.493292004183,"{'model_type': np.str_('gbm'), 'n_estimators': 208, 'learning_rate': 0.03703298352518542, 'max_depth': 3, 'subsample': 0.7900225609133558, 'min_samples_split': 2}"
93,2898.339729698099,"{'model_type': np.str_('lasso'), 'alpha': 0.000481215547738165}"
94,3223.317969291348,"{'model_type': np.str_('ridge'), 'alpha': 1.4557524256625949}"
95,3314.5894159927384,"{'model_type': np.str_('gbm'), 'n_estimators': 208, 'learning_rate': 0.020827561433937665, 'max_depth': 5, 'subsample': 0.9089731429668935, 'min_samples_split': 2}"
96,2901.205776477922,"{'model_type': np.str_('lasso'), 'alpha': 0.4028805418536647}"
97,3021.215217014961,"{'model_type': np.str_('gbm'), 'n_estimators': 63, 'learning_rate': 0.0225536666446097, 'max_depth': 4, 'subsample': 0.8004406227125821, 'min_samples_split': 5}"
98,2897.8853476857416,"{'model_type': np.str_('lasso'), 'alpha': 0.000601691037075474}"
99,3868.3670288797207,"{'model_type': np.str_('gbm'), 'n_estimators': 218, 'learning_rate': 0.16262024382406934, 'max_depth': 5, 'subsample': 0.901783905528537, 'min_samples_split': 7}"
100,2898.0917292409636,"{'model_type': np.str_('lasso'), 'alpha': 0.0005468344138652848}"
